"Easting","Northing","ICS_max","Date"
232500,615500,0,"1995-03-01"
233000,570500,0.0125180006224202,"1995-03-01"
233000,571000,0.0168140556114244,"1995-03-01"
233000,571500,0.0182193660269117,"1995-03-01"
233000,572000,0.0198647775793985,"1995-03-01"
233000,572500,0.0213547528004883,"1995-03-01"
233000,573000,0.02287696812195,"1995-03-01"
233000,573500,0.0236245400316681,"1995-03-01"
233000,574000,0.0225060538778187,"1995-03-01"
233000,574500,0.0203357979196092,"1995-03-01"
233000,575000,0.0194753432586287,"1995-03-01"
233000,575500,0.0192423854575942,"1995-03-01"
233000,576000,0.0191608464741044,"1995-03-01"
233000,576500,0.0185745588259559,"1995-03-01"
233000,577000,0.017831589995053,"1995-03-01"
233000,577500,0.0236140804113149,"1995-03-01"
233000,578000,0.0227310748670095,"1995-03-01"
233000,578500,0.0217102987767933,"1995-03-01"
233000,579000,0.0210081706566552,"1995-03-01"
233000,579500,0.0193643611734882,"1995-03-01"
233000,580000,0.0185133127612693,"1995-03-01"
233000,580500,0.018039696654767,"1995-03-01"
233000,581000,0.0176876380228336,"1995-03-01"
233000,581500,0.0176551311205477,"1995-03-01"
233000,582000,0.0178121546141151,"1995-03-01"
233000,582500,0.0183867121860444,"1995-03-01"
233000,583000,0.0191823717043023,"1995-03-01"
233000,583500,0.0208153993067844,"1995-03-01"
233000,584000,0.0222556629176687,"1995-03-01"
233000,584500,0.0236611121948885,"1995-03-01"
233000,585000,0.0255860044052651,"1995-03-01"
233000,585500,0.027689308185477,"1995-03-01"
233000,586000,0.03063764642643,"1995-03-01"
233000,586500,0.0328365335055439,"1995-03-01"
233000,587000,0.0336892936255664,"1995-03-01"
233000,587500,0.036747258687166,"1995-03-01"
233000,593500,0.0734618894200788,"1995-03-01"
233000,594000,0.0731895202109179,"1995-03-01"
233000,594500,0.0734603187788744,"1995-03-01"
233000,595000,0.074009351596135,"1995-03-01"
233000,595500,0.075541160518665,"1995-03-01"
233000,596000,0.0778173811850277,"1995-03-01"
233000,596500,0.0792489193225038,"1995-03-01"
233000,597000,0.0799872360202996,"1995-03-01"
233000,597500,0.0812044598133183,"1995-03-01"
233000,598000,0.0817508949318466,"1995-03-01"
233000,598500,0.0844319042032965,"1995-03-01"
233000,602500,0.0890378773853191,"1995-03-01"
233000,603000,0.0877095337508063,"1995-03-01"
233000,603500,0.0836927471766416,"1995-03-01"
233000,604000,0.0815162211609266,"1995-03-01"
233000,604500,0.0825829768222151,"1995-03-01"
233000,605000,0.08359156405129,"1995-03-01"
233000,605500,0.0813210025295657,"1995-03-01"
233000,606000,0.0733396549982599,"1995-03-01"
233000,606500,0.0676306591157747,"1995-03-01"
233000,607000,0.0682365978064038,"1995-03-01"
233000,607500,0.067914339484394,"1995-03-01"
233000,608000,0.0630896012962676,"1995-03-01"
233000,608500,0.0527917279293708,"1995-03-01"
233000,609000,0.0450822339646285,"1995-03-01"
233000,609500,0.0436789990146365,"1995-03-01"
233000,610000,0.0416459794634009,"1995-03-01"
233000,610500,0.0365960012128894,"1995-03-01"
233000,611000,0.0276137581103352,"1995-03-01"
233000,611500,0.0198875919141823,"1995-03-01"
233000,612000,0.0181926362817262,"1995-03-01"
233000,612500,0.0161056112273638,"1995-03-01"
233000,613000,0,"1995-03-01"
233000,613500,0,"1995-03-01"
233000,614000,0,"1995-03-01"
233000,614500,0,"1995-03-01"
233000,615000,0,"1995-03-01"
233000,615500,0,"1995-03-01"
233500,570000,0.0148694281264745,"1995-03-01"
233500,570500,0.0130247866491034,"1995-03-01"
233500,571000,0.0131074731519418,"1995-03-01"
233500,571500,0.0190968193158829,"1995-03-01"
233500,572000,0.0206446214585606,"1995-03-01"
233500,572500,0.0224671016876926,"1995-03-01"
233500,573000,0.0238727309003944,"1995-03-01"
233500,573500,0.0231476469621541,"1995-03-01"
233500,574000,0.0210263089337441,"1995-03-01"
233500,574500,0.0208074996684514,"1995-03-01"
233500,575000,0.0208950995246222,"1995-03-01"
233500,575500,0.0210266258251433,"1995-03-01"
233500,576000,0.0211350164683181,"1995-03-01"
233500,576500,0.020672621098724,"1995-03-01"
233500,577000,0.0200393919414922,"1995-03-01"
233500,577500,0.0267872668048752,"1995-03-01"
233500,578000,0.0260153252788547,"1995-03-01"
233500,578500,0.0246568090227051,"1995-03-01"
233500,579000,0.0236184243357143,"1995-03-01"
